GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
6007,"Butte, CA",91,Private goods-producing industries 2/,1205648,1149941,1069673,1264194,1144300,1122378,1241575,1324807,1534846,1518482
6007,"Butte, CA",92,Private services-providing industries 3/,5308152,5528559,5518940,5686839,5923351,6304344,6797395,7323941,7466475,8279477
6009,"Calaveras, CA",1,All industry total,1140746,1173334,1090936,1113273,1281881,1378859,1530796,1598135,1598869,1879126
6009,"Calaveras, CA",2,  Private industries,949153,980796,893376,904384,1068109,1147958,1269253,1336842,1328913,1604515
6009,"Calaveras, CA",3,"    Agriculture, forestry, fishing and hunting",6787,8554,22088,14841,18968,13237,6188,9869,12175,13709
6009,"Calaveras, CA",6,"    Mining, quarrying, and oil and gas extraction",1339,1318,1352,1055,806,652,765,1174,1315,1251
6009,"Calaveras, CA",10,    Utilities,89022,128609,54940,44590,41424,39342,86365,165308,78843,159618
6009,"Calaveras, CA",11,    Construction,119928,105570,92242,84641,83871,88245,91874,105740,116846,119138
6009,"Calaveras, CA",12,    Manufacturing,24270,21920,21186,22145,23695,27034,29358,33413,37927,36748
6009,"Calaveras, CA",13,      Durable goods manufacturing,11865,12514,13066,13253,12653,12965,13332,14090,18239,16603
6009,"Calaveras, CA",25,      Nondurable goods manufacturing,12405,9406,8121,8892,11042,14069,16025,19322,19689,20145
6009,"Calaveras, CA",34,    Wholesale trade,13936,16861,16187,22904,31242,45770,57055,70974,70858,83190
6009,"Calaveras, CA",35,    Retail trade,60063,61839,60793,62377,64289,71087,78613,88447,95181,100164
6009,"Calaveras, CA",36,    Transportation and warehousing,14923,15465,15038,15014,15797,15943,17919,16605,17266,19653
6009,"Calaveras, CA",45,    Information,16345,17443,18622,18493,17995,22581,24883,24283,23908,24423
6009,"Calaveras, CA",50,"    Finance, insurance, real estate, rental, and leasing",417401,421186,411851,437153,477174,507109,545292,584679,630359,786672
6009,"Calaveras, CA",51,      Finance and insurance,22761,24176,23037,22448,24626,24135,27148,28173,28682,27089
6009,"Calaveras, CA",56,      Real estate and rental and leasing,394640,397009,388814,414705,452548,482974,518144,556507,601677,759583
6009,"Calaveras, CA",59,    Professional and business services,56819,54141,53268,51145,154116,163760,177348,74757,72782,78223
6009,"Calaveras, CA",60,"      Professional, scientific, and technical services",34319,31824,31164,31838,(D),41158,41043,(D),(D),(D)
6009,"Calaveras, CA",64,      Management of companies and enterprises,(D),(D),(D),(D),(D),103836,109105,(D),(D),(D)
6009,"Calaveras, CA",65,      Administrative and support and waste management and remediation services,(D),(D),(D),(D),19217,18765,27200,29464,30220,35339
6009,"Calaveras, CA",68,"    Educational services, health care, and social assistance",45024,43932,41530,46568,49837,50758,53837,55976,59520,61920
6009,"Calaveras, CA",69,      Educational services,1476,(D),(D),1614,1617,1382,(D),(D),2920,3462
6009,"Calaveras, CA",70,      Health care and social assistance,43547,(D),(D),44954,48220,49376,(D),(D),56599,58458
6009,"Calaveras, CA",75,"    Arts, entertainment, recreation, accommodation, and food services",40581,44456,44295,44366,46731,56965,55879,61577,64676,70682
6009,"Calaveras, CA",76,"      Arts, entertainment, and recreation",9219,9666,9347,9381,9554,15280,17625,20381,21173,24954
6009,"Calaveras, CA",79,      Accommodation and food services,31361,34790,34948,34985,37177,41685,38254,41197,43503,45729
6009,"Calaveras, CA",82,    Other services (except government and government enterprises),42715,39501,39983,39093,42164,45476,43878,44040,47258,49123
6009,"Calaveras, CA",83,Government and government enterprises,191593,192538,197560,208889,213772,230900,261544,261293,269956,274611
6009,"Calaveras, CA",,Addenda:,,,,,,,,,,
6009,"Calaveras, CA",87,Natural resources and mining,8127,9872,23440,15895,19774,13889,6953,11043,13490,14960
6009,"Calaveras, CA",88,Trade,73999,78700,76980,85282,95531,116856,135668,159421,166040,183354
6009,"Calaveras, CA",89,Transportation and utilities,103945,144074,69979,59604,57222,55285,104283,181913,96109,179271
